Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,PromotionStagnation,IncomePerYearExp,CompanyTenureRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
35,0,16,3,1,4,2,2426,0,0,13,3,1,5,3,4,0.0,346.57142857142856,0.7142857142857143,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
29,0,15,2,4,2,3,4193,0,1,12,4,0,3,3,5,0.0,381.1818181818182,0.8181818181818182,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,0,26,1,1,3,3,2911,1,0,17,4,1,1,2,2,0.6666666666666666,485.1666666666667,0.8333333333333334,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
34,0,19,2,2,3,4,2661,0,0,11,3,1,2,3,2,0.3333333333333333,665.25,0.5,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
28,1,24,3,3,2,3,2028,5,1,14,2,0,4,3,2,0.0,289.7142857142857,0.5714285714285714,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
29,0,21,4,2,4,1,9980,1,0,11,3,1,1,3,9,0.7272727272727273,907.2727272727273,0.9090909090909091,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,5,2,1,4,2,3298,0,1,12,4,2,5,2,2,0.0,412.25,0.75,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,0,16,2,4,4,4,2935,1,1,13,2,2,2,2,0,0.0,1467.5,0.5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
53,0,2,4,1,2,4,15427,2,0,16,3,0,3,3,8,0.11538461538461539,482.09375,0.78125,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38,0,2,3,4,3,4,3944,5,1,11,3,0,3,3,2,0.25,563.4285714285714,0.42857142857142855,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
24,0,11,2,1,4,3,4011,0,0,18,4,1,5,2,2,0.2,668.5,0.6666666666666666,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
36,1,9,4,3,2,1,3407,7,0,23,2,0,4,3,3,0.0,309.72727272727275,0.45454545454545453,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
34,0,7,4,1,3,2,11994,0,0,11,3,0,4,3,6,0.15384615384615385,856.7142857142857,0.8571428571428571,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
21,0,15,2,3,3,4,1232,1,0,14,4,0,6,3,0,0.0,1232.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
34,1,6,1,2,3,1,2960,2,0,11,3,0,2,3,2,0.2,328.8888888888889,0.4444444444444444,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
53,0,5,3,3,3,3,19094,4,0,11,4,1,3,2,13,0.26666666666666666,707.1851851851852,0.5185185185185185,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,1,16,1,2,1,1,3919,1,1,22,2,0,5,3,2,0.5454545454545454,356.27272727272725,0.9090909090909091,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,0,8,4,3,3,2,6825,0,0,11,4,1,2,3,7,0.4,620.4545454545455,0.8181818181818182,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
44,0,7,4,1,2,4,10248,3,0,14,4,1,4,3,6,0.21739130434782608,409.92,0.88,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,0,2,4,2,3,1,18947,3,0,12,4,0,2,2,2,0.6666666666666666,823.7826086956521,0.08695652173913043,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,0,2,3,3,3,4,2496,4,0,11,4,0,3,3,1,0.0,312.0,0.125,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
44,0,10,4,4,3,4,6465,2,1,13,4,0,5,4,2,0.2,646.5,0.4,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
30,0,9,2,4,2,3,2206,1,0,13,1,0,5,3,0,0.09090909090909091,200.54545454545453,0.9090909090909091,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
39,1,5,3,4,3,4,2086,3,0,14,3,1,6,4,0,0.0,104.3,0.05,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
24,1,1,3,2,3,4,2293,2,1,16,1,1,2,2,0,0.6666666666666666,327.57142857142856,0.2857142857142857,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
43,0,2,2,4,4,3,2645,1,0,12,4,2,3,2,3,0.16666666666666666,377.85714285714283,0.7142857142857143,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
50,1,3,2,1,2,3,2683,1,1,14,3,0,2,3,2,0.0,670.75,0.75,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
35,0,2,3,4,3,4,2014,1,0,13,1,0,3,3,2,0.6666666666666666,671.3333333333334,0.6666666666666666,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
36,0,5,4,2,2,1,3419,9,1,14,4,1,3,4,1,0.0,488.42857142857144,0.14285714285714285,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,1,3,3,4,1,5376,2,0,19,1,2,3,3,3,0.16666666666666666,488.72727272727275,0.45454545454545453,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,0,4,2,3,3,4,1951,1,0,12,3,1,3,3,0,0.0,975.5,0.5,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
27,0,2,4,4,3,1,2341,1,0,13,4,1,6,3,0,0.0,1170.5,0.5,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1,25,3,1,1,3,2293,1,0,12,3,0,2,2,0,0.0,1146.5,0.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
27,0,8,3,4,3,3,8726,1,0,15,4,0,0,3,8,0.1,872.6,0.9,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
30,0,1,2,3,3,4,4011,1,0,23,4,0,2,3,8,0.23076923076923078,308.53846153846155,0.9230769230769231,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
41,1,12,3,2,3,3,19545,1,0,12,4,0,0,3,15,0.6521739130434783,814.375,0.9166666666666666,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,0,23,4,2,3,3,4568,0,0,20,3,0,2,3,5,0.8,415.27272727272725,0.8181818181818182,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
37,0,19,2,2,3,2,3022,4,0,21,1,0,1,3,0,0.0,335.77777777777777,0.1111111111111111,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
46,0,5,4,1,3,4,5772,4,1,21,3,0,4,3,6,0.0,384.8,0.6,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
35,0,8,1,4,4,4,2269,1,0,19,4,0,2,3,0,0.0,1134.5,0.5,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
48,1,1,2,1,2,3,5381,9,1,13,4,0,2,3,0,0.0,224.20833333333334,0.041666666666666664,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
28,1,5,4,3,3,3,3441,1,1,13,3,0,3,2,2,0.6666666666666666,1147.0,0.6666666666666666,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
44,0,1,5,2,3,1,5454,5,1,21,3,1,2,2,3,0.2,545.4,0.4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0,11,2,3,2,1,9884,2,1,13,3,1,3,3,0,0.4,898.5454545454545,0.36363636363636365,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
26,0,23,3,3,2,4,4157,7,1,19,3,1,2,2,2,0.0,692.8333333333334,0.3333333333333333,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
33,0,1,2,1,3,4,13458,1,1,12,3,0,1,3,14,0.5,841.125,0.9375,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,0,18,5,2,3,1,9069,1,0,22,4,1,3,2,8,0.1,906.9,0.9,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
35,0,23,4,3,3,1,4014,3,1,15,3,1,3,3,2,0.6666666666666666,802.8,0.4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
31,0,7,4,4,3,4,5915,3,0,22,4,1,3,2,7,0.125,537.7272727272727,0.6363636363636364,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,0,1,4,1,2,3,5993,1,0,18,3,1,2,4,5,0.0,749.125,0.875,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
32,0,1,3,1,3,4,6162,1,1,22,2,1,3,3,8,0.7,616.2,0.9,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
38,0,29,5,4,3,4,2406,1,0,11,4,0,2,3,3,0.8181818181818182,218.72727272727272,0.9090909090909091,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,0,7,2,2,2,3,18740,5,1,12,4,1,2,2,3,0.4642857142857143,624.6666666666666,0.9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,0,25,3,1,3,1,7637,7,0,11,4,0,3,2,16,0.3181818181818182,263.3448275862069,0.7241379310344828,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
36,0,8,3,3,3,3,10096,1,0,13,2,3,2,3,14,0.6666666666666666,560.8888888888889,0.9444444444444444,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,0,8,3,4,3,3,14756,2,1,14,3,3,2,3,0,0.0,670.7272727272727,0.22727272727272727,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,0,11,3,2,2,2,6499,1,0,13,3,0,3,3,5,0.0,928.4285714285714,0.8571428571428571,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
45,0,7,3,2,3,1,9724,2,0,17,3,1,2,3,0,0.0,374.0,0.038461538461538464,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,0,1,3,2,3,1,2194,4,0,13,4,1,2,2,2,0.25,365.6666666666667,0.5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
36,1,9,3,4,2,3,3388,0,1,17,1,1,0,2,0,0.0,1129.3333333333333,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
59,0,1,1,1,2,3,5473,7,0,11,4,0,2,2,3,0.2,260.6190476190476,0.19047619047619047,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29,0,2,3,3,3,2,2703,0,0,23,4,1,3,3,4,0.0,386.14285714285717,0.7142857142857143,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
31,0,1,4,3,3,2,2501,1,0,17,2,0,4,3,1,0.5,1250.5,0.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
32,0,1,3,2,3,2,6220,1,0,17,2,2,3,3,4,0.0,565.4545454545455,0.9090909090909091,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
36,0,6,3,2,4,4,3038,3,0,12,2,0,3,3,0,0.0,506.3333333333333,0.16666666666666666,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
31,0,8,4,3,3,4,4424,1,0,23,4,0,2,3,7,0.08333333333333333,368.6666666666667,0.9166666666666666,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35,0,1,4,3,2,1,4312,0,0,14,2,0,2,3,13,0.125,253.64705882352942,0.8823529411764706,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
45,0,6,4,4,3,1,13245,4,1,14,2,0,3,4,0,0.0,735.8333333333334,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
37,0,7,4,1,3,3,13664,4,0,13,1,0,3,4,2,0.0,803.7647058823529,0.29411764705882354,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
46,0,5,2,2,3,2,5021,8,1,22,4,1,2,3,2,0.0,295.3529411764706,0.23529411764705882,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
30,0,1,1,4,2,4,5126,1,1,12,3,2,1,2,8,0.2727272727272727,466.0,0.9090909090909091,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
35,0,1,3,2,2,3,2859,1,0,18,1,0,3,3,4,0.0,408.42857142857144,0.8571428571428571,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
55,0,1,2,1,3,4,10239,3,0,14,4,1,4,3,0,0.5,409.56,0.04,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
38,0,6,3,2,1,4,5329,7,1,12,4,3,3,3,11,0.07142857142857142,296.05555555555554,0.7222222222222222,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,0,1,2,1,3,2,4325,1,0,15,3,0,2,3,2,0.16666666666666666,720.8333333333334,0.8333333333333334,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
56,0,7,3,4,1,4,7260,4,0,11,1,0,3,2,4,0.0,191.05263157894737,0.15789473684210525,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
23,0,2,1,3,3,1,2322,3,0,13,3,1,3,3,0,0.0,580.5,0.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
51,0,9,4,4,3,4,2075,3,0,23,2,2,4,3,2,0.0,188.63636363636363,0.36363636363636365,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
30,0,2,3,3,2,4,4152,1,0,19,1,3,3,3,10,0.8333333333333334,346.0,0.9166666666666666,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
46,1,9,2,3,2,4,9619,1,0,16,4,0,3,3,8,0.4,961.9,0.9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
40,0,1,4,3,2,2,13503,1,0,22,4,1,3,2,3,0.4782608695652174,587.0869565217391,0.9565217391304348,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,0,21,4,3,3,4,5441,0,1,22,4,0,2,1,7,0.09090909090909091,453.4166666666667,0.8333333333333334,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
30,0,4,2,3,2,2,5209,1,1,12,2,3,4,2,8,0.16666666666666666,434.0833333333333,0.9166666666666666,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,0,1,3,3,2,1,10673,2,1,13,3,1,5,2,9,0.8181818181818182,485.1363636363636,0.45454545454545453,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
32,0,6,4,2,3,3,5010,1,0,16,1,0,0,3,8,0.4166666666666667,385.38461538461536,0.8461538461538461,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
54,0,2,4,1,3,3,13549,9,0,12,1,1,5,1,3,0.0,797.0,0.23529411764705882,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,0,3,2,1,3,3,4999,0,0,21,1,1,2,2,2,0.0,999.8,0.6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
28,0,4,3,2,3,3,4221,1,0,15,2,0,3,4,4,0.0,703.5,0.8333333333333334,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
58,0,10,4,4,3,3,13872,0,0,13,3,0,1,2,10,0.02631578947368421,355.6923076923077,0.9487179487179487,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
44,0,23,3,2,3,2,2042,4,0,12,3,1,3,4,2,0.25,113.44444444444444,0.16666666666666666,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
37,1,6,4,3,3,1,2073,4,1,22,4,0,3,3,2,0.0,259.125,0.375,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
32,0,1,1,4,3,1,2956,1,0,13,4,0,2,3,0,0.0,1478.0,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
20,1,6,3,4,2,4,2926,1,1,18,2,0,5,3,0,0.5,1463.0,0.5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,0,6,4,1,3,3,4809,1,0,14,3,0,3,3,13,0.11764705882352941,282.88235294117646,0.9411764705882353,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37,0,2,2,3,2,4,5163,5,0,14,4,1,2,4,0,0.0,286.8333333333333,0.05555555555555555,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,0,2,4,3,2,4,18844,9,0,21,4,1,3,3,2,0.5,607.8709677419355,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
50,0,1,3,1,3,2,18172,3,1,19,1,0,1,2,3,0.0,626.6206896551724,0.27586206896551724,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25,1,5,3,3,2,3,5744,1,1,11,4,0,1,3,4,0.0,820.5714285714286,0.8571428571428571,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
25,0,7,1,4,2,4,2889,1,0,11,3,2,2,3,2,0.6666666666666666,963.0,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
22,0,15,3,2,3,4,2871,1,0,15,3,0,5,3,0,0.0,1435.5,0.0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
51,0,1,4,1,2,1,7484,3,0,20,3,0,1,2,12,0.8571428571428571,311.8333333333333,0.5416666666666666,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,7,3,1,1,3,6074,1,1,24,4,0,3,3,7,0.0,607.4,0.9,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
54,0,26,3,4,4,4,17328,2,1,12,3,0,3,3,3,0.6666666666666666,722.0,0.20833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,0,18,1,2,3,3,2774,0,0,12,3,1,2,3,3,0.16666666666666666,396.2857142857143,0.7142857142857143,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
34,0,6,4,3,2,2,4505,6,0,15,3,1,3,3,0,0.0,346.53846153846155,0.07692307692307693,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,0,3,3,3,3,4,7428,2,0,12,1,0,3,3,3,0.16666666666666666,571.3846153846154,0.38461538461538464,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
34,0,5,3,3,2,1,11631,2,0,12,4,0,6,3,10,0.4166666666666667,775.4,0.7333333333333333,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
36,0,11,2,2,3,4,9738,0,0,14,3,1,6,3,7,0.2,885.2727272727273,0.8181818181818182,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
36,0,3,2,1,3,4,2835,5,0,22,1,1,2,3,0,0.0,354.375,0.125,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,0,26,2,3,3,4,16959,1,1,12,4,2,3,4,12,0.15384615384615385,652.2692307692307,0.9615384615384616,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
30,0,23,3,1,1,3,2613,1,0,25,3,3,2,2,7,0.0,237.54545454545453,0.9090909090909091,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33,0,22,2,3,3,2,6146,0,0,13,1,1,2,4,7,0.0,682.8888888888889,0.7777777777777778,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
56,1,14,4,2,3,2,4963,9,1,18,1,3,2,3,4,0.6666666666666666,620.375,0.625,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
51,0,6,3,1,3,3,19537,7,0,13,3,0,5,3,18,0.7142857142857143,814.0416666666666,0.8333333333333334,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,1,6,4,2,1,3,6172,4,1,18,2,0,3,2,7,0.875,474.7692307692308,0.5384615384615384,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
26,0,6,3,3,2,2,2368,1,0,19,3,0,3,2,4,0.6666666666666666,394.6666666666667,0.8333333333333334,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
58,1,23,4,4,3,4,10312,1,0,12,4,1,3,2,10,0.36585365853658536,251.5121951219512,0.975609756097561,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,22,1,4,3,3,1675,1,1,19,4,0,2,2,0,0.0,1675.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
22,0,2,1,3,3,4,2523,0,0,14,3,1,2,3,1,0.6666666666666666,630.75,0.5,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
49,0,20,4,3,3,1,6567,1,0,14,3,0,2,2,11,0.3125,386.29411764705884,0.8823529411764706,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
43,0,28,3,2,4,3,4739,4,0,12,4,0,2,3,2,0.25,249.42105263157896,0.15789473684210525,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
50,0,12,3,3,3,4,9208,4,0,11,4,0,3,3,2,0.6666666666666666,541.6470588235294,0.11764705882352941,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31,1,20,3,2,1,3,4559,3,1,11,3,1,2,3,2,0.6666666666666666,911.8,0.4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41,0,9,1,3,3,3,8189,3,1,13,3,1,2,3,7,0.0,629.9230769230769,0.6923076923076923,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,0,25,1,3,3,3,2942,1,0,23,4,1,3,3,7,0.5555555555555556,326.8888888888889,0.8888888888888888,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36,0,6,2,2,3,2,4941,6,0,20,4,2,0,3,2,0.0,617.625,0.375,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
51,1,8,4,1,1,4,10650,2,0,15,4,0,2,3,2,0.0,560.5263157894736,0.21052631578947367,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
39,0,4,4,4,2,3,5902,4,0,14,3,1,1,4,11,0.3125,327.8888888888889,0.8333333333333334,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25,0,28,3,1,2,3,8639,2,0,18,4,0,3,3,2,0.6666666666666666,1234.142857142857,0.2857142857142857,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
30,0,9,3,3,3,4,6347,0,1,19,4,0,2,1,9,0.3333333333333333,488.2307692307692,0.8461538461538461,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
32,1,9,3,1,3,1,4200,7,0,22,1,0,2,4,4,0.0,381.8181818181818,0.45454545454545453,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
45,0,29,3,3,3,4,3452,5,0,13,2,0,2,2,5,0.0,345.2,0.6,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
